                  Time        error x        error y        error z
252497040.000000000000000          0.000          0.000          0.000
252497050.000000000000000         -0.020         -0.005          0.000
252497060.000000000000000          0.000          0.003         -0.001
252497070.000000000000000         -0.015         -0.007         -0.002
252497080.000000000000000         -0.005         -0.003         -0.007
252497090.000000000000000         -0.008         -0.003         -0.006
252497100.000000000000000         -0.005         -0.002         -0.003
252497110.000000000000000         -0.009         -0.005          0.003
252497120.000000000000000          0.002         -0.004         -0.004
252497130.000000000000000         -0.004         -0.002         -0.002
252497140.000000000000000          0.001          0.001          0.004
252497150.000000000000000         -0.001         -0.002          0.004
252497160.000000000000000          0.000          0.000          0.000
252497170.000000000000000         -0.017         -0.010         -0.005
252497180.000000000000000         -0.016         -0.010          0.000
252497190.000000000000000          0.001          0.002          0.000
252497200.000000000000000          0.014          0.008          0.003
252497210.000000000000000          0.004          0.007          0.002
252497220.000000000000000         -0.000          0.002         -0.001
252497230.000000000000000         -0.018         -0.010         -0.011
252497240.000000000000000         -0.010         -0.014         -0.010
252497250.000000000000000          0.000          0.002         -0.004
252497260.000000000000000          0.003          0.001          0.002
252497270.000000000000000         -0.005         -0.002          0.003
252497280.000000000000000          0.000          0.000          0.000
252497290.000000000000000          0.006          0.004         -0.002
252497300.000000000000000         -0.003          0.001          0.005
252497310.000000000000000         -0.005         -0.006          0.009
252497320.000000000000000         -0.019         -0.005          0.014
252497330.000000000000000         -0.014         -0.006          0.012
252497340.000000000000000         -0.005         -0.006          0.013
252497350.000000000000000          0.009          0.001          0.010
252497360.000000000000000         -0.004         -0.006          0.008
252497370.000000000000000         -0.010         -0.003          0.010
252497380.000000000000000         -0.002         -0.005          0.003
252497390.000000000000000         -0.021         -0.001          0.004
252497400.000000000000000          0.000          0.000          0.000
252497410.000000000000000         -0.004          0.002         -0.004
252497420.000000000000000          0.011          0.004         -0.009
252497430.000000000000000          0.003          0.006         -0.010
252497440.000000000000000          0.014          0.001         -0.017
252497450.000000000000000          0.021         -0.002         -0.018
252497460.000000000000000          0.012          0.006         -0.013
252497470.000000000000000          0.018          0.011         -0.010
252497480.000000000000000          0.022          0.005         -0.009
252497490.000000000000000          0.016          0.002         -0.007
252497500.000000000000000          0.001          0.003         -0.006
252497510.000000000000000          0.000          0.007         -0.000
252497520.000000000000000          0.000          0.000          0.000
252497530.000000000000000         -0.001         -0.001          0.003
252497540.000000000000000         -0.015          0.001          0.006
252497550.000000000000000         -0.006          0.002          0.001
252497560.000000000000000         -0.011          0.003          0.007
252497570.000000000000000         -0.011          0.012          0.002
252497580.000000000000000         -0.017          0.003         -0.006
252497590.000000000000000         -0.010          0.006         -0.007
252497600.000000000000000         -0.009          0.004         -0.006
252497610.000000000000000         -0.009          0.001         -0.005
252497620.000000000000000         -0.007          0.001         -0.002
252497630.000000000000000         -0.002          0.003          0.002
252497640.000000000000000          0.000          0.000          0.000
252497650.000000000000000          0.000         -0.006          0.006
252497660.000000000000000          0.008         -0.009          0.010
252497670.000000000000000          0.008         -0.009          0.011
252497680.000000000000000          0.016         -0.009          0.021
252497690.000000000000000         -0.002         -0.008          0.017
252497700.000000000000000          0.003         -0.012          0.018
252497710.000000000000000          0.001         -0.017          0.018
252497720.000000000000000         -0.004         -0.016          0.011
252497730.000000000000000         -0.004         -0.007          0.010
252497740.000000000000000         -0.012         -0.008          0.001
252497750.000000000000000         -0.016         -0.005         -0.001
252497760.000000000000000          0.000          0.000          0.000
252497770.000000000000000         -0.007          0.010         -0.012
252497780.000000000000000         -0.006          0.012         -0.020
252497790.000000000000000          0.000          0.014         -0.024
252497820.000000000000000          0.013          0.019         -0.027
252497840.000000000000000          0.014          0.016         -0.025
252497850.000000000000000          0.013          0.014         -0.017
252497860.000000000000000         -0.002          0.006         -0.014
252497870.000000000000000         -0.009          0.001         -0.007
252497880.000000000000000          0.000          0.000          0.000
252497890.000000000000000         -0.014         -0.007          0.005
252497900.000000000000000         -0.010         -0.003          0.009
252497910.000000000000000         -0.016         -0.013          0.017
252497920.000000000000000         -0.007         -0.004          0.014
252497930.000000000000000         -0.010         -0.007          0.018
252497950.000000000000000         -0.021         -0.005          0.015
252497960.000000000000000         -0.016         -0.007          0.010
252497970.000000000000000         -0.018         -0.012          0.009
252497980.000000000000000         -0.010         -0.010          0.002
252497990.000000000000000         -0.006         -0.008         -0.004
252498000.000000000000000          0.000          0.000          0.000
252498010.000000000000000         -0.008         -0.003          0.000
252498020.000000000000000          0.007         -0.003          0.003
252498030.000000000000000          0.001          0.002         -0.006
252498040.000000000000000         -0.012          0.000         -0.004
252498050.000000000000000         -0.011          0.000         -0.008
252498060.000000000000000         -0.002         -0.001         -0.006
252498070.000000000000000          0.001         -0.007          0.006
252498080.000000000000000          0.002          0.001         -0.004
252498090.000000000000000         -0.003         -0.001         -0.009
252498100.000000000000000         -0.010         -0.003         -0.012
252498110.000000000000000         -0.006         -0.004          0.000
252498120.000000000000000          0.000          0.000          0.000
252498130.000000000000000         -0.008          0.006         -0.008
252498140.000000000000000          0.002          0.002          0.006
252498150.000000000000000          0.003          0.005          0.008
252498160.000000000000000          0.009          0.005          0.015
252498170.000000000000000          0.009          0.005          0.027
252498180.000000000000000          0.006          0.007          0.013
252498190.000000000000000          0.001          0.007          0.008
252498200.000000000000000          0.001          0.006          0.011
252498210.000000000000000          0.002          0.003          0.012
252498220.000000000000000          0.008         -0.006          0.019
252498230.000000000000000         -0.007          0.003         -0.010
252498240.000000000000000          0.000          0.000          0.000
252498250.000000000000000         -0.010         -0.001         -0.011
252498260.000000000000000         -0.012         -0.003         -0.011
252498270.000000000000000          0.000         -0.007         -0.001
252498280.000000000000000          0.001         -0.015          0.002
252498290.000000000000000         -0.001         -0.014          0.003
252498300.000000000000000          0.000         -0.008         -0.005
252498310.000000000000000         -0.007         -0.006         -0.012
252498320.000000000000000         -0.011          0.003         -0.019
252498330.000000000000000         -0.002         -0.003         -0.007
252498340.000000000000000          0.012         -0.006          0.010
252498350.000000000000000          0.006          0.001         -0.001
252498360.000000000000000          0.000          0.000          0.000
252498370.000000000000000         -0.008          0.002         -0.004
252498380.000000000000000          0.001          0.002          0.005
252498390.000000000000000          0.001          0.006         -0.002
252498400.000000000000000         -0.003          0.011         -0.018
252498410.000000000000000         -0.001          0.010         -0.021
252498420.000000000000000          0.002          0.007         -0.000
252498430.000000000000000          0.003          0.007          0.001
252498440.000000000000000          0.003          0.006         -0.001
252498450.000000000000000          0.003          0.004          0.000
252498460.000000000000000          0.003          0.008         -0.010
252498470.000000000000000          0.005          0.004          0.003
252498480.000000000000000          0.000          0.000          0.000
252498490.000000000000000         -0.008          0.004         -0.010
252498500.000000000000000         -0.007          0.002         -0.001
252498510.000000000000000         -0.007         -0.005         -0.001
252498520.000000000000000         -0.007         -0.007          0.003
252498530.000000000000000         -0.009         -0.009          0.004
252498540.000000000000000         -0.012         -0.006          0.002
252498550.000000000000000         -0.005         -0.005          0.010
252498570.000000000000000         -0.007         -0.005         -0.001
252498580.000000000000000          0.002         -0.009          0.024
252498590.000000000000000         -0.002          0.000         -0.004
252498600.000000000000000          0.000          0.000          0.000
252498610.000000000000000          0.004          0.001          0.012
252498620.000000000000000          0.001          0.006         -0.001
252498630.000000000000000          0.009          0.003          0.004
252498640.000000000000000          0.014          0.001          0.010
252498650.000000000000000          0.007          0.009          0.005
252498660.000000000000000          0.011          0.005          0.012
252498670.000000000000000          0.014          0.002          0.015
252498680.000000000000000          0.015          0.002          0.027
252498690.000000000000000          0.006          0.003          0.008
252498700.000000000000000          0.006          0.003          0.005
252498710.000000000000000          0.002          0.002          0.004
252498720.000000000000000          0.000          0.000          0.000
252498730.000000000000000         -0.001          0.004         -0.000
252498740.000000000000000         -0.000         -0.003          0.008
252498750.000000000000000         -0.002         -0.003         -0.003
252498760.000000000000000         -0.003         -0.001         -0.005
252498770.000000000000000         -0.006         -0.000         -0.014
