                  Time      g_error x      g_error y      g_error z      d_error x      d_error y      d_error z
252766100.000000000000000        113.759        -91.234        203.607          0.004          0.012          0.039
252766110.000000000000000        122.352        -98.162        219.592         -0.002          0.013          0.035
252766120.000000000000000        131.109       -105.216        235.910          0.002          0.014          0.027
252766130.000000000000000        139.742       -112.175        252.060         -0.001          0.017          0.025
252766150.000000000000000          5.606         -5.296          2.882          0.003          0.013          0.032
252766160.000000000000000         25.731        -21.527         37.808         -0.003          0.016          0.028
252766170.000000000000000         47.451        -39.035         75.393          0.000          0.012          0.033
252766180.000000000000000         70.040        -57.241        114.403         -0.003          0.010          0.032
252766190.000000000000000         92.770        -75.548        153.560          0.003          0.005          0.029
252766210.000000000000000       -943.526        762.275      -1739.945         -0.004          0.016          0.035
252766220.000000000000000       -820.168        663.591      -1494.398         -0.001          0.017          0.030
252766230.000000000000000       -693.703        562.348      -1244.232          0.003          0.010          0.036
252766240.000000000000000       -567.518        461.278       -996.075          0.004          0.016          0.047
252766250.000000000000000       -444.820        362.933       -756.197          0.003          0.013          0.042
252766330.000000000000000          4.978         -4.915          4.366          0.013          0.006          0.033
252766340.000000000000000         19.535        -16.233         43.713          0.012          0.008          0.027
252766350.000000000000000         35.248        -28.445         86.068          0.005          0.012          0.030
252766360.000000000000000         51.616        -41.159        130.045          0.006          0.013          0.031
252766370.000000000000000         68.083        -53.953        174.193          0.000          0.012          0.025
252766390.000000000000000       -667.364        518.010      -1945.231          0.005          0.011          0.032
252766400.000000000000000       -582.606        453.811      -1673.356          0.009          0.010          0.017
252766410.000000000000000       -495.505        387.710      -1396.144          0.003          0.013          0.026
252766420.000000000000000       -408.387        321.485      -1120.971          0.001          0.015          0.034
252766430.000000000000000       -323.479        256.830       -854.781          0.001          0.014          0.030
252766440.000000000000000          0.000          0.000          0.000          0.005          0.013          0.029
252766450.000000000000000          4.438         -4.537          5.257          0.002          0.007          0.036
252766460.000000000000000         15.019        -12.233         46.688          0.000          0.008          0.032
252766470.000000000000000         26.463        -20.547         91.284          0.003          0.012          0.026
252766480.000000000000000         38.385        -29.206        137.610          0.002          0.020          0.033
252766490.000000000000000         50.400        -37.937        184.152          0.007          0.017          0.062
252766510.000000000000000        835.258       -402.330       9647.481         -0.008          0.010          0.104
252766520.000000000000000       1454.287       -727.696      14606.933         -0.000          0.013          0.035
252766530.000000000000000       2033.717      -1032.574      19241.323          0.003          0.012          0.019
252766540.000000000000000       2568.219      -1314.472      23501.146          0.001          0.011          0.013
252766550.000000000000000       3052.820      -1571.088      27339.277          0.005          0.014          0.019
252766560.000000000000000          0.000          0.000          0.000          0.004          0.012          0.019
252766620.000000000000000          0.000          0.000          0.000          0.006          0.013          0.024
252766630.000000000000000         65.553         66.507       2357.892          0.004          0.013          0.008
252766640.000000000000000         61.692         63.940       2234.476          0.005          0.016          0.009
252766650.000000000000000         57.401         61.261       2102.778          0.006          0.014          0.027
252766660.000000000000000         52.692         58.582       1965.016          0.008          0.014          0.035
252766670.000000000000000         47.580         56.000       1823.378          0.010          0.014          0.026
252766680.000000000000000          0.000          0.000          0.000          0.006          0.014          0.025
252766740.000000000000000          0.000          0.000          0.000          0.006          0.013          0.030
252766750.000000000000000          2.834         -3.209          7.090          0.004          0.011          0.072
252766760.000000000000000          3.118         -1.090         50.426          0.009          0.014          0.036
252766770.000000000000000          3.461          1.155         97.124          0.006          0.014          0.028
252766780.000000000000000          3.853          3.459        145.640          0.002          0.014          0.023
252766790.000000000000000          4.283          5.745        194.359         -0.002          0.012          0.005
252766810.000000000000000          2.482         -2.881          7.334          0.010          0.017          0.048
252766820.000000000000000          0.712          1.259         50.501          0.008          0.017          0.031
252766830.000000000000000         -1.149          5.677         97.006          0.008          0.012          0.028
252766840.000000000000000         -3.043         10.241        145.315          0.008          0.012          0.018
252766850.000000000000000         -4.911         14.803        193.859          0.008          0.012          0.026
252766870.000000000000000          2.114         -2.550          7.563          0.006          0.012          0.027
252766880.000000000000000         -1.676          3.611         50.370          0.008          0.012          0.030
252766890.000000000000000         -5.717         10.216         96.469          0.007          0.014          0.027
252766900.000000000000000         -9.879         17.042        144.349          0.004          0.011          0.009
252766910.000000000000000        -14.019         23.878        192.459          0.007          0.013          0.002
252766920.000000000000000          0.000          0.000          0.000          0.007          0.015          0.016
252766930.000000000000000        -43.174         56.906        220.329          0.009          0.019          0.019
252766940.000000000000000        -46.841         61.603        237.752          0.009          0.016          0.026
252766950.000000000000000        -50.728         66.574        256.084          0.007          0.014          0.017
252766960.000000000000000        -54.707         71.668        274.778          0.010          0.017          0.009
252766970.000000000000000        -58.659         76.713        293.274          0.011          0.014          0.024
252766990.000000000000000          1.362         -1.834          7.915          0.005          0.009          0.005
252767000.000000000000000         -6.364          8.336         49.388          0.004          0.011          0.008
252767010.000000000000000        -14.636         19.256         94.076          0.007          0.015          0.024
252767020.000000000000000        -23.193         30.558        140.485          0.012          0.006          0.012
252767030.000000000000000        -31.763         41.902        187.139          0.009          0.014          0.026
252767050.000000000000000      -3083.385       3579.691       8444.816          0.011          0.015          0.021
252767060.000000000000000      -4513.734       5317.799      12909.534          0.013          0.017          0.052
252767070.000000000000000      -5849.503       6941.283      17082.267          0.009          0.015          0.039
252767080.000000000000000      -7075.755       8432.145      20919.179          0.007          0.009          0.026
252767090.000000000000000      -8178.204       9773.174      24378.520          0.008          0.003          0.016
252767110.000000000000000        -72.256         87.530        201.683          0.012         -0.001          0.001
252767120.000000000000000        -78.213         94.658        217.563          0.012          0.003          0.002
252767130.000000000000000        -84.508        102.188        234.300          0.012          0.008          0.022
252767140.000000000000000        -90.949        109.870        251.356          0.010         -0.004          0.039
252767150.000000000000000        -97.321        117.496        268.186          0.016          0.001          0.038
252767170.000000000000000        -81.188         97.202        193.674          0.012          0.015          0.050
252767180.000000000000000        -87.843        105.085        208.882          0.014          0.013          0.035
252767190.000000000000000        -94.878        113.411        224.892          0.011          0.011          0.021
252767200.000000000000000       -102.070        121.915        241.182          0.009          0.003         -0.020
252767210.000000000000000       -109.187        130.339        257.328          0.011          0.000         -0.005
252767220.000000000000000          0.000          0.000          0.000          0.012          0.010          0.025
252767230.000000000000000       -942.592       1112.985       1848.484          0.014          0.015          0.033
252767240.000000000000000       -893.520       1055.491       1751.132          0.015          0.014          0.026
252767250.000000000000000       -841.287        994.183       1647.136          0.012          0.010          0.023
252767260.000000000000000       -786.819        930.157       1538.199          0.014          0.002          0.011
252767270.000000000000000       -731.033        864.494       1426.026          0.016          0.004          0.007
252767290.000000000000000         -0.531          0.142          8.254          0.008          0.011          0.032
252767300.000000000000000        -17.041         19.664         43.246          0.009          0.010          0.033
252767310.000000000000000        -34.783         40.658         80.949          0.012          0.010          0.024
252767320.000000000000000        -53.182         62.439        120.143          0.018          0.009          0.014
252767330.000000000000000        -71.641         84.295        159.555          0.020          0.008          0.022
252767340.000000000000000          0.000          0.000          0.000          0.012          0.009          0.028
252767350.000000000000000         -0.905          0.555          8.197          0.004          0.013          0.027
252767360.000000000000000        -18.934         21.761         41.402          0.005          0.009          0.031
252767370.000000000000000        -38.309         44.570         77.184          0.013          0.009          0.025
252767380.000000000000000        -58.420         68.235        114.391          0.010          0.004          0.025
252767390.000000000000000        -78.592         91.987        151.794          0.012          0.002          0.029
252767410.000000000000000         -1.246          0.954          8.096          0.026         -0.001          0.010
252767420.000000000000000        -20.703         23.772         39.367          0.022          0.004          0.018
252767430.000000000000000        -41.629         48.312         73.077          0.014          0.005          0.024
252767440.000000000000000        -63.341         73.788        108.123          0.007          0.013          0.026
252767450.000000000000000        -85.118         99.346        143.350          0.007          0.011          0.025
252767470.000000000000000         -1.607          1.378          7.991          0.015          0.011          0.026
252767480.000000000000000        -22.384         25.694         37.176          0.014         -0.001          0.027
252767490.000000000000000        -44.732         51.874         68.643          0.012          0.008          0.027
252767500.000000000000000        -67.922         79.041        101.374          0.011          0.013          0.035
252767510.000000000000000        -91.198        106.302        134.226          0.007          0.009         -0.013
252767530.000000000000000         -1.947          1.776          7.834          0.013          0.006          0.029
252767540.000000000000000        -23.940         27.513         34.805          0.014         -0.000          0.025
252767550.000000000000000        -47.603         55.222         63.901          0.011          0.011          0.030
252767560.000000000000000        -72.161         83.978         94.169          0.009          0.016          0.040
252767570.000000000000000        -96.803        112.841        124.588          0.014          0.019          0.034
252767590.000000000000000         -2.277          2.170          7.636          0.010          0.004          0.025
252767600.000000000000000        -25.380         29.231         32.254          0.011          0.007         -0.004
252767610.000000000000000        -50.236         58.349         58.876          0.012          0.011          0.030
252767620.000000000000000        -76.038         88.581         86.529          0.012          0.019          0.025
252767630.000000000000000       -101.939        118.925        114.340          0.010          0.020          0.022
252767710.000000000000000       1197.057      -1400.863      -1031.422          0.009          0.012          0.034
252767720.000000000000000       1029.337      -1203.862       -899.090          0.016          0.000          0.026
252767730.000000000000000        858.365      -1003.095       -763.210          0.013          0.000          0.028
252767740.000000000000000        688.680       -803.887       -627.436          0.007          0.007          0.030
252767750.000000000000000        524.560       -611.261       -495.223          0.002          0.014          0.038
252767770.000000000000000       -141.188        167.157         73.316          0.016         -0.010          0.027
252767780.000000000000000       -152.489        180.519         78.860          0.012         -0.002          0.035
252767790.000000000000000       -164.400        194.605         84.659          0.010          0.004          0.030
252767800.000000000000000       -176.548        208.966         90.547          0.015         -0.006          0.023
252767810.000000000000000       -188.564        223.178         96.353          0.016         -0.006          0.025
252767830.000000000000000       -143.774        170.701         58.484          0.019         -0.004          0.025
252767840.000000000000000       -155.269        184.332         62.842          0.011          0.003          0.031
252767850.000000000000000       -167.375        198.688         67.394          0.012         -0.003          0.028
252767860.000000000000000       -179.732        213.347         72.011          0.011         -0.001          0.023
252767870.000000000000000       -191.940        227.846         76.557          0.018          0.004          0.025
252767880.000000000000000          0.000          0.000          0.000          0.015         -0.001          0.029
252767890.000000000000000       -145.690        173.506         43.399          0.023          0.006          0.027
252767900.000000000000000       -157.310        187.333         46.543          0.026          0.000          0.023
252767910.000000000000000       -169.572        201.914         49.835          0.015          0.000          0.029
252767920.000000000000000       -182.069        216.799         53.156          0.018          0.007          0.024
252767930.000000000000000       -194.435        231.512         56.426          0.010          0.008          0.031
252767940.000000000000000          0.000          0.000          0.000          0.021         -0.006          0.026
252767950.000000000000000      -1498.720       1792.115        234.014          0.010          0.008          0.036
252767960.000000000000000      -1420.219       1698.445        220.819          0.020          0.011          0.037
252767970.000000000000000      -1336.477       1598.470        206.559          0.016         -0.001          0.028
252767980.000000000000000      -1248.906       1493.932        191.407          0.017          0.003          0.024
252767990.000000000000000      -1158.912       1386.486        175.526          0.017          0.003          0.028
252768010.000000000000000       1337.501      -1589.259       -367.992          0.019         -0.001          0.026
252768020.000000000000000       1152.658      -1368.963       -328.115          0.013          0.005          0.032
252768030.000000000000000        964.042      -1144.227       -286.537          0.017         -0.001          0.030
252768040.000000000000000        776.658       -920.995       -244.390          0.026          0.002          0.028
252768050.000000000000000        595.216       -704.915       -202.777          0.021          0.001          0.026
252768070.000000000000000         -4.315          4.985          4.968          0.017         -0.006          0.029
252768080.000000000000000        -31.962         38.062          7.985          0.014          0.002          0.028
252768090.000000000000000        -61.731         73.673         11.297          0.012          0.008          0.033
252768100.000000000000000        -92.659        110.661         14.775          0.005          0.013          0.028
252768110.000000000000000       -123.720        147.811         18.322          0.004          0.022          0.034
252768130.000000000000000      -1488.641       1798.632       -237.640         -0.007          0.011          0.040
252768140.000000000000000      -1410.581       1704.407       -226.161          0.020         -0.004          0.023
252768150.000000000000000      -1327.301       1603.869       -214.049          0.011          0.009          0.034
252768160.000000000000000      -1240.170       1498.702       -201.633          0.008          0.029          0.035
252768170.000000000000000      -1150.569       1390.531       -189.192          0.013          0.005          0.029
252768190.000000000000000       -145.258        175.775        -33.564          0.015          0.001          0.035
252768200.000000000000000       -156.772        189.730        -36.540          0.012          0.012          0.033
252768210.000000000000000       -168.900        204.421        -39.704          0.010          0.011          0.033
252768220.000000000000000       -181.255        219.403        -42.961          0.020          0.007          0.031
252768230.000000000000000       -193.479        234.212        -46.199          0.016          0.005          0.033
252768250.000000000000000      -1448.915       1762.309       -547.855          0.006          0.030          0.036
252768260.000000000000000      -1372.919       1669.860       -520.104          0.006          0.017          0.028
252768270.000000000000000      -1291.775       1571.179       -490.641          0.013          0.007          0.032
252768280.000000000000000      -1206.860       1467.939       -460.060          0.020          0.005          0.037
252768290.000000000000000      -1119.509       1361.745       -428.945          0.031         -0.018          0.029
252768310.000000000000000         -4.842          5.973          3.053          0.011          0.030          0.044
252768320.000000000000000        -31.775         38.633         -5.464          0.010          0.023          0.042
252768330.000000000000000        -60.787         73.806        -14.587          0.009          0.014          0.032
252768340.000000000000000        -90.930        110.347        -24.007          0.013          0.003          0.032
252768350.000000000000000       -121.220        147.058        -33.437          0.012         -0.003          0.022
252768370.000000000000000         -4.922          6.132          2.523          0.006          0.012          0.034
252768380.000000000000000        -31.370         38.331         -8.810          0.013          0.020          0.035
252768390.000000000000000        -59.870         73.000        -20.958          0.014          0.016          0.038
252768400.000000000000000        -89.490        109.015        -33.537          0.012          0.007          0.036
252768410.000000000000000       -119.244        145.204        -46.128          0.018          0.007          0.037
252768420.000000000000000          0.000          0.000          0.000          0.012          0.018          0.035
252768430.000000000000000       -133.451        163.292        -92.836          0.026          0.013          0.031
252768440.000000000000000       -143.950        176.188       -100.488          0.043          0.011          0.040
252768450.000000000000000       -155.051        189.774       -108.594          0.013          0.014          0.038
252768460.000000000000000       -166.385        203.635       -116.891         -0.034          0.027          0.030
252768470.000000000000000       -177.532        217.316       -125.102         -0.032          0.025          0.036
252768490.000000000000000       -129.096        158.237       -106.770         -0.017          0.025          0.033
252768500.000000000000000       -139.253        170.722       -115.531         -0.020          0.027          0.033
252768510.000000000000000       -149.917        183.856       -124.787          0.004          0.018          0.036
252768520.000000000000000       -160.784        197.247       -134.253          0.031          0.012          0.038
252768530.000000000000000       -171.544        210.478       -143.633          0.031          0.007          0.040
252768540.000000000000000          0.000          0.000          0.000          0.007          0.015          0.039
252768550.000000000000000       -124.128        152.410       -120.215          0.022          0.015          0.041
252768560.000000000000000       -133.902        164.423       -130.035         -0.003          0.021          0.042
252768570.000000000000000       -144.150        177.056       -140.412          0.009          0.014          0.038
252768580.000000000000000       -154.612        189.936       -151.016          0.005          0.011          0.039
252768590.000000000000000       -164.946        202.666       -161.527         -0.002          0.015          0.033
252768600.000000000000000          0.000          0.000          0.000          0.002          0.018          0.037
