                  Time        error x        error y        error z
252739430.000000000000000         -0.001          0.036         -0.007
252739440.000000000000000          0.006          0.029          0.032
252739450.000000000000000          0.003          0.024          0.040
252739460.000000000000000          0.002          0.051          0.016
252739470.000000000000000          0.005          0.026          0.032
252739480.000000000000000          0.005          0.020          0.032
252739490.000000000000000          0.007          0.015          0.037
252739500.000000000000000          0.007          0.027          0.034
252739510.000000000000000          0.002          0.017          0.039
252739520.000000000000000          0.003          0.021          0.044
252739530.000000000000000          0.011          0.035          0.040
252739540.000000000000000          0.010          0.031          0.031
252739550.000000000000000          0.016          0.008          0.049
252739560.000000000000000          0.007          0.031          0.036
252739570.000000000000000          0.004          0.034          0.031
252739580.000000000000000         -0.002         -0.007          0.059
252739590.000000000000000          0.005          0.028          0.039
252739600.000000000000000          0.002          0.023          0.038
252739610.000000000000000          0.013          0.035          0.045
252739620.000000000000000          0.007          0.028          0.040
252739630.000000000000000          0.001          0.023          0.032
252739640.000000000000000         -0.005          0.018          0.029
252739650.000000000000000          0.001          0.025          0.034
252739660.000000000000000          0.005          0.036          0.031
252739670.000000000000000         -0.002          0.021          0.027
252739680.000000000000000          0.001          0.025          0.034
252739690.000000000000000         -0.003          0.022          0.042
252739700.000000000000000         -0.006          0.011          0.041
252739710.000000000000000          0.005          0.029          0.034
252739720.000000000000000          0.009          0.035          0.029
252739730.000000000000000          0.013          0.033          0.034
252739740.000000000000000         -0.001          0.019          0.034
252739750.000000000000000          0.007          0.036          0.033
252739760.000000000000000          0.007          0.031          0.036
252739770.000000000000000         -0.003          0.020          0.033
252739780.000000000000000          0.055          0.148          0.025
252739790.000000000000000         -0.045         -0.047          0.021
252739800.000000000000000         -0.001          0.022          0.032
252739810.000000000000000          0.012          0.030          0.027
252739820.000000000000000          0.007          0.028          0.027
252739830.000000000000000         -0.001          0.021          0.032
252739840.000000000000000         -0.014          0.001          0.041
252739850.000000000000000          0.012          0.041          0.033
252739860.000000000000000         -0.003          0.024          0.033
252739870.000000000000000         -0.006          0.022          0.034
252739880.000000000000000         -0.011          0.012          0.032
252739890.000000000000000         -0.006          0.018          0.031
252739900.000000000000000         -0.019         -0.008          0.031
252739910.000000000000000         -0.009          0.006          0.032
252739920.000000000000000         -0.006          0.016          0.032
252739930.000000000000000          0.005          0.031          0.033
252739940.000000000000000          0.004          0.030          0.030
252739950.000000000000000         -0.004          0.016          0.033
252739960.000000000000000          0.012          0.043          0.031
252739970.000000000000000          0.013          0.046          0.029
252739980.000000000000000         -0.007          0.012          0.031
252739990.000000000000000          0.007          0.048          0.032
252740000.000000000000000         -0.008          0.027          0.033
252740010.000000000000000         -0.008          0.009          0.031
252740020.000000000000000         -0.011         -0.004          0.040
252740030.000000000000000         -0.010         -0.000          0.041
252740040.000000000000000         -0.014         -0.002          0.032
252740050.000000000000000         -0.018         -0.012          0.031
252740060.000000000000000         -0.018         -0.012          0.030
252740070.000000000000000         -0.002          0.018          0.031
252740080.000000000000000         -0.004          0.011          0.031
