                  Time        error x        error y        error z
252798940.000000000000000       -139.922         -1.616        -40.410
252798950.000000000000000       -187.117         -2.093        -52.576
252798960.000000000000000          0.000          0.000          0.000
252798970.000000000000000      -9683.262        -57.546       -352.946
252798980.000000000000000     -14671.265        -84.502       -753.034
252798990.000000000000000     -19332.366       -109.615      -1128.192
252799000.000000000000000     -23616.846       -132.631      -1475.556
252799010.000000000000000     -27477.380       -153.318      -1792.528
252799020.000000000000000          0.000          0.000          0.000
252799030.000000000000000       2092.820         17.344        324.702
252799040.000000000000000       1803.243         15.370        290.798
252799050.000000000000000       1507.774         13.313        255.305
252799060.000000000000000       1214.245         11.234        219.203
252799070.000000000000000        930.082          9.194        183.449
252799080.000000000000000          0.000          0.000          0.000
252799090.000000000000000       -231.591         -0.573          7.464
252799100.000000000000000       -249.998         -0.617          8.357
252799110.000000000000000       -269.389         -0.660          9.340
252799120.000000000000000       -289.164         -0.691         10.366
252799130.000000000000000       -308.696         -0.726         11.414
252799140.000000000000000          0.000          0.000          0.000
252799150.000000000000000         -6.963         -0.084         -4.390
252799160.000000000000000        -50.378         -0.219         -3.630
252799170.000000000000000        -97.122         -0.382         -2.852
252799180.000000000000000       -145.653         -0.545         -2.090
252799190.000000000000000       -194.425         -0.711         -1.381
252799200.000000000000000          0.000          0.000          0.000
252799210.000000000000000      -2318.081          3.843        440.198
252799220.000000000000000      -2196.583          3.654        418.092
252799230.000000000000000      -2066.879          3.462        394.659
252799240.000000000000000      -1931.181          3.267        370.391
252799250.000000000000000      -1791.612          3.086        345.751
252799260.000000000000000          0.000          0.000          0.000
252799270.000000000000000       -225.609          0.507         53.309
252799280.000000000000000       -243.521          0.543         57.839
252799290.000000000000000       -262.292          0.612         62.657
252799300.000000000000000       -281.434          0.683         67.594
252799310.000000000000000       -300.407          0.736         72.494
252799320.000000000000000          0.000          0.000          0.000
252799330.000000000000000         -7.754          0.058         -2.921
252799340.000000000000000        -50.271          0.092          6.430
252799350.000000000000000        -95.781          0.243         16.498
252799360.000000000000000       -143.243          0.319         26.878
252799370.000000000000000       -190.927          0.398         37.258
252799380.000000000000000          0.000          0.000          0.000
252799390.000000000000000         -7.904          0.137         -2.380
252799400.000000000000000        -49.586          0.279          9.790
252799410.000000000000000        -94.498          0.425         22.842
252799420.000000000000000       -141.161          0.578         36.354
252799430.000000000000000       -188.058          0.727         49.890
252799440.000000000000000          0.000          0.000          0.000
252799450.000000000000000         -8.022          0.187         -1.847
252799460.000000000000000        -48.820          0.392         13.072
252799470.000000000000000        -92.770          0.602         29.081
252799480.000000000000000       -138.439          0.819         45.669
252799490.000000000000000       -184.325          1.034         62.293
252799500.000000000000000          0.000          0.000          0.000
252799510.000000000000000       -203.689          1.443        110.841
252799520.000000000000000       -219.722          1.581        119.916
252799530.000000000000000       -236.669          1.709        129.513
252799540.000000000000000       -253.850          1.868        139.345
252799550.000000000000000       -270.866          2.018        149.065
252799560.000000000000000          0.000          0.000          0.000
252799570.000000000000000       -195.902          1.521        124.150
252799580.000000000000000       -211.298          1.665        134.277
252799590.000000000000000       -227.525          1.816        144.981
252799600.000000000000000       -244.052          1.976        155.903
252799610.000000000000000       -260.376          2.129        166.746
252799620.000000000000000          0.000          0.000          0.000
252799630.000000000000000       1848.280        -15.859      -1039.186
252799640.000000000000000       1599.348        -13.815       -886.755
252799650.000000000000000       1344.794        -11.727       -731.927
252799660.000000000000000       1091.390         -9.654       -578.768
252799670.000000000000000        845.575         -7.649       -431.129
252799680.000000000000000          0.000          0.000          0.000
252799690.000000000000000         81.328         -0.763        -54.710
252799700.000000000000000         66.798         -0.644        -44.536
252799710.000000000000000         50.363         -0.510        -33.048
252799720.000000000000000         32.270         -0.353        -20.423
252799730.000000000000000         12.840         -0.194         -6.875
252799740.000000000000000          0.000          0.000          0.000
252799750.000000000000000         -8.174          0.469          0.884
252799760.000000000000000        -41.879          0.777         28.324
252799770.000000000000000        -78.193          1.106         57.815
252799780.000000000000000       -115.977          1.442         88.418
252799790.000000000000000       -153.913          1.775        119.124
252799800.000000000000000          0.000          0.000          0.000
252799810.000000000000000      -1553.052         11.740       1778.719
252799820.000000000000000      -1471.072         10.872       1686.256
252799830.000000000000000      -1383.428         10.011       1587.638
252799840.000000000000000      -1291.575          9.138       1484.673
252799850.000000000000000      -1196.917          8.278       1379.039
252799860.000000000000000          0.000          0.000          0.000
252799870.000000000000000         -7.974          0.566          1.962
252799880.000000000000000        -37.739          0.810         33.630
252799890.000000000000000        -69.837          1.065         67.679
252799900.000000000000000       -103.228          1.323        103.027
252799910.000000000000000       -136.777          1.579        138.500
252799920.000000000000000          0.000          0.000          0.000
252799930.000000000000000       1408.127        -13.122      -1585.977
252799940.000000000000000       1222.535        -11.943      -1360.601
252799950.000000000000000       1032.393        -10.697      -1131.112
252799960.000000000000000        842.809         -9.423       -903.588
252799970.000000000000000        658.603         -8.157       -683.763
252799980.000000000000000          0.000          0.000          0.000
252799990.000000000000000         -7.635          0.648          3.004
252800000.000000000000000        -32.945          0.743         38.331
252800010.000000000000000        -60.251          0.850         76.344
252800020.000000000000000        -88.659          0.944        115.803
252800030.000000000000000       -117.224          1.029        155.412
252800040.000000000000000          0.000          0.000          0.000
252800050.000000000000000         -7.405          0.687          3.514
252800060.000000000000000        -30.307          0.678         40.440
252800070.000000000000000        -55.048          0.661         80.173
252800080.000000000000000        -80.766          0.642        121.427
252800090.000000000000000       -106.634          0.620        162.840
252800100.000000000000000          0.000          0.000          0.000
252800110.000000000000000       -888.599        -20.257       2187.355
252800120.000000000000000       -841.243        -19.556       2073.222
252800130.000000000000000       -790.547        -18.756       1951.483
252800140.000000000000000       -737.278        -17.869       1824.232
252800150.000000000000000       -682.223        -16.917       1693.529
252800160.000000000000000          0.000          0.000          0.000
252800170.000000000000000      67190.814       1151.166    -153034.078
252800180.000000000000000      66531.130       1139.512    -151503.997
252800190.000000000000000      65403.481       1119.929    -148900.400
252800200.000000000000000      63833.190       1092.891    -145281.475
252800210.000000000000000      61851.298       1058.938    -140718.722
252800220.000000000000000          0.000          0.000          0.000
252800230.000000000000000        814.220         13.672      -1957.966
252800240.000000000000000        712.193         10.649      -1684.479
252800250.000000000000000        607.235          7.649      -1405.663
252800260.000000000000000        502.156          4.740      -1128.854
252800270.000000000000000        399.627          1.983       -861.050
252800280.000000000000000          0.000          0.000          0.000
252800290.000000000000000         -6.215          0.769          5.356
252800300.000000000000000        -18.640          0.133         46.991
252800310.000000000000000        -32.069         -0.559         91.792
252800320.000000000000000        -46.059         -1.275        138.305
252800330.000000000000000        -60.162         -2.007        185.039
252800340.000000000000000          0.000          0.000          0.000
252800350.000000000000000        -33.068         -6.469        229.431
252800360.000000000000000        -35.387         -6.965        247.697
252800370.000000000000000        -37.795         -7.487        266.955
252800380.000000000000000        -40.231         -8.021        286.610
252800390.000000000000000        -42.615         -8.559        306.036
252800400.000000000000000          0.000          0.000          0.000
252800410.000000000000000        411.234         42.528      -2079.291
252800420.000000000000000        365.243         35.260      -1791.197
252800430.000000000000000        317.417         27.927      -1497.280
252800440.000000000000000        269.076         20.746      -1205.324
252800450.000000000000000        221.477         13.879       -922.700
252800460.000000000000000          0.000          0.000          0.000
252800470.000000000000000         -5.005          0.769          6.459
252800480.000000000000000         -8.977         -0.567         49.711
252800490.000000000000000        -13.300         -2.009         96.274
252800500.000000000000000        -17.833         -3.503        144.605
252800510.000000000000000        -22.429         -5.011        193.173
252800520.000000000000000          0.000          0.000          0.000
252800530.000000000000000         12.817        -10.896        231.170
252800540.000000000000000         14.144        -11.750        249.530
252800550.000000000000000         15.583        -12.650        268.849
252800560.000000000000000         17.071        -13.558        288.570
252800570.000000000000000         18.559        -14.472        308.053
252800580.000000000000000          0.000          0.000          0.000
252800590.000000000000000         -4.098          0.730          7.130
252800600.000000000000000         -2.337         -1.159         50.459
252800610.000000000000000         -0.470         -3.209         97.143
252800620.000000000000000          1.415         -5.333        145.632
252800630.000000000000000          3.269         -7.469        194.326
252800640.000000000000000          0.000          0.000          0.000
252800650.000000000000000         43.156        -14.281        227.282
252800660.000000000000000         46.895        -15.414        245.173
252800670.000000000000000         50.861        -16.603        264.138
252800680.000000000000000         54.931        -17.821        283.488
252800690.000000000000000         58.966        -19.023        302.626
252800700.000000000000000          0.000          0.000          0.000
252800710.000000000000000         -3.114          0.667          7.598
252800720.000000000000000          4.362         -1.859         50.263
252800730.000000000000000         12.342         -4.583         96.267
252800740.000000000000000         20.598         -7.401        144.071
252800750.000000000000000         28.850        -10.248        192.046
252800760.000000000000000          0.000          0.000          0.000
252800770.000000000000000        789.023       -185.861       2213.383
252800780.000000000000000        748.565       -176.598       2097.185
252800790.000000000000000        705.553       -166.657       1973.118
252800800.000000000000000        660.798       -156.230       1843.278
252800810.000000000000000        615.085       -145.478       1709.705
252800820.000000000000000          0.000          0.000          0.000
252800830.000000000000000         -2.083          0.567          7.962
252800840.000000000000000         10.939         -2.636         49.214
252800850.000000000000000         24.917         -6.086         93.684
252800860.000000000000000         39.387         -9.675        139.864
252800870.000000000000000         53.879        -13.281        186.252
252800880.000000000000000          0.000          0.000          0.000
252800890.000000000000000        100.805        -21.785        207.218
252800900.000000000000000        109.105        -23.522        223.498
252800910.000000000000000        117.867        -25.341        240.760
252800920.000000000000000        126.821        -27.206        258.274
252800930.000000000000000        135.701        -29.046        275.606
252800940.000000000000000          0.000          0.000          0.000
252800950.000000000000000         -1.002          0.434          8.182
252800960.000000000000000         17.322         -3.490         47.289
252800970.000000000000000         37.011         -7.716         89.411
252800980.000000000000000         57.430        -12.113        133.186
252800990.000000000000000         77.882        -16.514        177.206
252801000.000000000000000          0.000          0.000          0.000
252801010.000000000000000       5828.204      -1063.734       7644.367
252801020.000000000000000       8659.936      -1624.732      11722.826
252801030.000000000000000      11305.103      -2148.941      15534.857
252801040.000000000000000      13734.618      -2630.667      19040.500
252801050.000000000000000      15920.712      -3064.468      22201.818
252801060.000000000000000          0.000          0.000          0.000
252801070.000000000000000        139.370        -27.701        182.483
252801080.000000000000000        150.694        -29.920        196.777
252801090.000000000000000        162.649        -32.219        211.870
252801100.000000000000000        174.868        -34.587        227.210
252801110.000000000000000        186.957        -36.934        242.373
252801120.000000000000000          0.000          0.000          0.000
252801130.000000000000000     -99723.550      19598.461    -132090.930
252801140.000000000000000     -98720.661      19401.736    -130780.820
252801150.000000000000000     -97016.586      19067.576    -128547.064
252801160.000000000000000     -94649.332      18603.463    -125439.635
252801170.000000000000000     -91665.677      18018.564    -121519.999
252801180.000000000000000          0.000          0.000          0.000
252801190.000000000000000       1684.991       -325.406       1609.800
252801200.000000000000000       1597.374       -308.761       1524.877
252801210.000000000000000       1504.008       -290.977       1434.043
252801220.000000000000000       1406.514       -272.344       1338.887
252801230.000000000000000       1306.506       -253.187       1240.849
252801240.000000000000000          0.000          0.000          0.000
252801250.000000000000000        172.191        -33.426        150.439
252801260.000000000000000        186.098        -36.086        162.171
252801270.000000000000000        200.756        -38.891        174.499
252801280.000000000000000        215.721        -41.754        187.062
252801290.000000000000000        230.529        -44.588        199.462
252801300.000000000000000          0.000          0.000          0.000
252801310.000000000000000        181.678        -35.234        138.375
252801320.000000000000000        196.264        -38.028        149.102
252801330.000000000000000        211.695        -40.988        160.406
252801340.000000000000000        227.419        -44.009        171.902
252801350.000000000000000        243.010        -46.991        183.255
252801360.000000000000000          0.000          0.000          0.000
252801370.000000000000000        190.236        -36.952        125.633
252801380.000000000000000        205.518        -39.890        135.356
252801390.000000000000000        221.659        -42.994        145.589
252801400.000000000000000        238.138        -46.163        156.007
252801410.000000000000000        254.441        -49.300        166.279
252801420.000000000000000          0.000          0.000          0.000
252801430.000000000000000        198.000        -38.574        112.373
252801440.000000000000000        213.893        -41.647        121.038
252801450.000000000000000        230.656        -44.897        130.149
252801460.000000000000000        247.756        -48.203        139.406
252801470.000000000000000        264.661        -51.476        148.525
252801480.000000000000000          0.000          0.000          0.000
252801490.000000000000000       2106.872       -412.006        956.061
252801500.000000000000000       1996.902       -390.721        905.134
252801510.000000000000000       1879.626       -367.977        850.639
252801520.000000000000000       1757.023       -344.170        793.386
252801530.000000000000000       1631.200       -319.719        734.299
252801540.000000000000000          0.000          0.000          0.000
252801550.000000000000000        210.806        -41.507         84.424
252801560.000000000000000        227.621        -44.798         90.811
252801570.000000000000000        245.395        -48.290         97.542
252801580.000000000000000        263.604        -51.868        104.421
252801590.000000000000000        281.519        -55.376        111.145
252801600.000000000000000          0.000          0.000          0.000
252801610.000000000000000      -1886.039        364.946       -875.026
252801620.000000000000000      -1622.287        313.419       -764.609
252801630.000000000000000      -1353.394        260.929       -651.053
252801640.000000000000000      -1086.552        208.876       -537.476
252801650.000000000000000       -828.397        158.554       -426.727
